Questin,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Unique ID,Answer,Category / categories,Product,Forum,Likes
An ‘access violation' error appears when I close nordicAktiva. Should I be worried?,an-access-violation-error-appears-when-i-close-nordicaktiva-should-i-be-worried,63fdd72506354fc9c34bbb9b,6479ed85f2e806e8d0bea061,Fri Jun 02 2023 13:24:21 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:27 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,<p>No. This is a known issue but does not affect the performance of the software. This will be solved in the next version of nordicAktiva.</p>,nordicaktiva,,true,
Can I add my own video or audio files to nordicComfortPlayer’s library for streaming?,can-i-add-my-own-video-or-audio-files-to-nordiccomfortplayers-library-for-streaming,63fdd72506354fc9c34bbb9b,649040d67adbf4f6d418ad9c,Mon Jun 19 2023 11:49:42 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:10 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Yes! Open the C Drive on the nordicComfortPlayer’s PC and there you will find two folders: ‘movies’ and ‘music’. Copy your desired video or audio files into these folders accordingly. For videos, you can choose if you want to add the new files to the ‘general’ or ‘children’ folder. After adding the files, start nordicComfortPlayer and you should be able to see and play the newly added videos or audio files in the media library.</p>",nordiccomfortsolution,,true,
Can I connect my laptop or existing control room PC to the NNL LCD monitor?,can-i-connect-my-laptop-or-existing-control-room-pc-to-the-nnl-lcd-monitor,63fdd72506354fc9c34bbb9b,64903fcd33c77d1dc8b28e03,Mon Jun 19 2023 11:45:17 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:57 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Yes. There is a standard HDMI connection to the LCD in the control room. Just plug the HDMI cable into your computer, and the LCD can be used in the same way as any other second monitor.</p>",inroomviewingdevice,,true,
Can I display paradigms from nordicAktiva on the VisualSystem HD goggles?,can-i-display-paradigms-from-nordicaktiva-on-the-visualsystem-hd-goggles,63fdd72506354fc9c34bbb9b,6490417c083b39e263e98778,Mon Jun 19 2023 11:52:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:36:43 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Yes, all nordicAktiva paradigms can be displayed on the VisualSystem HD goggles. The HDMI output of the nordicAktiva PC can be connected to a splitter, which then gives rise to two identical HDMI outputs, one for each of the two independent displays. More information can be found in the ‘Display Setup for VisualSystem HD’ guide on our <a href=""https://www.nordicneurolab.com/resources#user-guides"" target=""_blank""><strong><em>website</em></strong></a><strong><em>.</em></strong> If you have both the LCD monitor and the VisualSystem HD goggles and need to switch often between them, you can add an HDMI switch to smoothly transfer the display from one to the other.</p>",visualsystemhd,,true,
Can I forward the received MR-triggers from the SyncBox to other equipment?  ,can-i-forward-the-received-mr-triggers-from-the-syncbox-to-other-equipment,63fdd72506354fc9c34bbb9b,64942dc0221ba05b97785ae2,Thu Jun 22 2023 11:17:20 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:17:20 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:17:48 GMT+0000 (Coordinated Universal Time),,"<p id="""">Yes, the SyncBox can forward the MR-triggers to other equipment, e.g., an EEG system. There are, however, different approaches depending on your setup: </p><ul id=""""><li>If you are not using the ResponseGrips in your setup, then you can use the TTL port (9) on the SyncBox in order to forward the triggers. The TTL port should then be connected to the parallel port of your system. </li><li>You can also forward the received triggers using the serial port (4) on the SyncBox. Here you will need a serial cable which connects the SyncBox to your system. </li></ul><figure class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div><img alt=""A picture containing text, sketch, diagram, drawingDescription automatically generated"" src=""https://uploads-ssl.webflow.com/617a905810208b1c7db8ee22/64942db6d2a19f840e84982d_fbfc27f9.png"" id="""" width=""auto"" height=""auto"" loading=""auto""></div></figure><p id=""""> </p><p>‍</p>",syncbox,,true,
Can I install nordicAktiva on another computer?,can-i-install-nordicaktiva-on-another-computer,63fdd72506354fc9c34bbb9b,6479e9fa1dab0f155da57e35,Fri Jun 02 2023 13:09:14 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:38 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Yes, it is possible to install nordicAktiva on computers other than that provided by NordicNeuroLab. Below are the minimum requirements:</p><p id="""">· Operating system:</p><p id="""">o Windows 7, 8.1, or 10</p><p id="""">· Hardware:</p><p id="""">o Intel i3 processor or equivalent</p><p id="""">o 4 GB RAM</p><p id="""">o 100 MB of free space on hard disk</p><p id="""">o DirectX 9 compatible graphics card with dual video outputs</p><p id="""">o Audio outputs</p><p id="""">o USB or serial port (for NNL SyncBox connection) <br><br>For further support, please contact us at <a href=""mailto:applicationsupport@nordicneurolab.com"">applicationsupport@nordicneurolab.com</a>.</p><p>‍</p><p id="""">‍</p>",nordicaktiva,,true,
Can I use the ResponseGrips with other stimulus presentation software packages? ,can-i-use-the-responsegrips-with-other-stimulus-presentation-software-packages,63fdd72506354fc9c34bbb9b,64942e15f163c1e424263ba8,Thu Jun 22 2023 11:18:45 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:18:45 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:19:10 GMT+0000 (Coordinated Universal Time),,"<p>Yes, it is possible to use the NNL ResponseGrips with other stimulus software packages, such as PsychoPy, Presentation, and E-Prime. Responses from ResponseGrips are received by the ResponseGrip Interface. It then forwards the received responses to the NNL SyncBox, which in turn forwards them to the stimulation PC. This means that you need to connect and set up your stimulation software with the NNL SyncBox. For setup instructions, please visit our<a href=""https://www.nordicneurolab.com/resources#user-guides"" target=""_blank""> <strong><em>website,</em></strong></a> where different guides are available. We are constantly expanding and updating these guides. If you are interested in specific software for which a guide is not available on our website, please contact us at <a href=""mailto:applicationsupport@nordicneurolab.com"" target=""_blank"" id="""">applicationsupport@nordicneurolab.com</a>.</p>",responsegrips,,true,
Can I use the SyncBox with other stimulus presentation software applications? ,can-i-use-the-syncbox-with-other-stimulus-presentation-software-applications,63fdd72506354fc9c34bbb9b,64942da2f8420c5ef60d7aa5,Thu Jun 22 2023 11:16:50 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:41:04 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:41:09 GMT+0000 (Coordinated Universal Time),,"<p id="""">Yes, SyncBox can be used in conjunction with other stimulus software packages, such as E-Prime, Presentation, and PsychoPy. You can find different setup instructions on our website, which we are constantly expanding and updating. If you are interested in specific software for which a guide is not available on our <a href=""https://www.nordicneurolab.com/resources#user-guides"" target=""_blank""><strong><em>website</em></strong></a>, please contact us at <a href=""mailto:applicationsupport@nordicneurolab.com"" target=""_blank"" id="""">applicationsupport@nordicneurolab.com</a>.</p>",syncbox,,true,
Can subject responses be used to control the content of the paradigm? ,can-subject-responses-be-used-to-control-the-content-of-the-paradigm,63fdd72506354fc9c34bbb9b,649179e5cc23b5082d41c2ee,Tue Jun 20 2023 10:05:25 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:36:12 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>nordicAktiva does not support any control of the paradigm content by the subject. The ResponseGrips can be used to indicate a response to a given slide, but it is not possible to include conditional statements such as if.... else.</p>",nordicaktiva,,true,
Can the nordicComfortSolution be upgraded to be used for fMRI? ,can-the-nordiccomfortsolution-be-upgraded-to-be-used-for-fmri,63fdd72506354fc9c34bbb9b,644a483cdfae0b2e745feda0,Thu Apr 27 2023 10:02:36 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:58 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">If you want to upgrade your nordicComfortSolution to a Basic fMRI Solution, you will need to add the SyncBox and ResponseGrips, and nordicAktiva. The SyncBox provides precise synchronization of the stimuli with the MRI scan, while the ResponseGrips allow patients to respond to the stimuli during the scan. The nordicAktiva software provides a wide range of stimulus presentation options, making it easy to create and present stimuli during fMRI scans.</p><p id="""">To get a quote on upgrading your nordicComfortSolution, we recommend contacting your local sales representative. <br>They will be able to provide you with pricing and other information about the necessary components and software.</p><p id="""">‍</p>",syncbox,nordicComfortSolution,false,
